Date,Rate
1990-01-01,
1990-01-02,0.893656156807528
1990-01-03,0.8968787726295802
1990-01-04,0.8765515035981745
1990-01-05,0.875064142449535
1990-01-08,0.8681231237558844
1990-01-09,0.8753120359743084
1990-01-10,0.8728331007265759
1990-01-11,0.8753120359743084
1990-01-12,0.8728331007265759
1990-01-15,
1990-01-16,0.8807656935193197
1990-01-17,0.878038864746814
1990-01-18,0.8857235640147842
1990-01-19,0.8859714575395576
1990-01-22,0.8931603697579816
1990-01-23,0.8805177999945464
1990-01-24,0.8748162489247618
1990-01-25,0.8758078230238547
1990-01-26,0.8775430776972675
1990-01-29,0.8693625913797506
1990-01-30,0.8715936331027097
1990-01-31,0.875064142449535
1990-02-01,0.8713457395779365
1990-02-02,0.8738246748256688
1990-02-05,0.8649005079338322
1990-02-06,0.8594468503888211
1990-02-07,0.8599426374383674
1990-02-08,0.8681231237558844
1990-02-09,0.8693625913797506
1990-02-12,0.8651484014586055
1990-02-13,0.868866804330204
1990-02-14,0.8668836561320181
1990-02-15,0.87084995252839
1990-02-16,0.8686189108054309
1990-02-19,
1990-02-20,0.8671315496567913
1990-02-21,0.8629173597356464
1990-02-22,0.8619257856365534
1990-02-23,0.8663878690824718
1990-02-26,0.8733288877761223
1990-02-27,0.8706020590036166
1990-02-28,0.8745683553999887
1990-03-01,0.884236202866145
1990-03-02,0.8852277769652379
1990-03-05,0.8772951841724942
1990-03-06,0.8767993971229476
1990-03-07,0.8792783323706801
1990-03-08,0.8767993971229476
1990-03-09,0.8782867582715872
1990-03-12,0.8815093740936394
1990-03-13,0.8839883093413716
1990-03-14,0.8822530546679591
1990-03-15,0.877047290647721
1990-03-16,0.8728331007265759
1990-03-19,0.8673794431815647
1990-03-20,0.8743204618752154
1990-03-21,0.8792783323706801
1990-03-22,0.877047290647721
1990-03-23,0.8797741194202267
1990-03-26,0.8800220129449998
1990-03-27,0.878038864746814
1990-03-28,0.8765515035981745
1990-03-29,0.8713457395779365
1990-03-30,0.8656441885081521
1990-04-02,0.8743204618752154
1990-04-03,0.8710978460531632
1990-04-04,0.871841526627483
1990-04-05,0.8720894201522562
1990-04-06,0.8696104849045238
1990-04-09,0.8671315496567913
1990-04-10,0.8668836561320181
1990-04-11,0.8589510633392745
1990-04-12,0.8584552762897281
1990-04-13,0.8587031698145012
1990-04-16,0.8601905309631408
1990-04-17,0.860438424487914
1990-04-18,0.8582073827649548
1990-04-19,0.8599426374383674
1990-04-20,0.8661399755576984
1990-04-23,0.8693625913797506
1990-04-24,0.8673794431815647
1990-04-25,0.8614299985870069
1990-04-26,0.8609342115374603
1990-04-27,0.8596947439135942
1990-04-30,0.8584552762897281
1990-05-01,0.8594468503888211
1990-05-02,0.8606863180126871
1990-05-03,0.8599426374383674
1990-05-04,0.8547368734181293
1990-05-07,0.8477958547244788
1990-05-08,0.8487874288235717
1990-05-09,0.8398632619317351
1990-05-10,0.8398632619317351
1990-05-11,0.8368885396344562
1990-05-14,0.8433337712785605
1990-05-15,0.8443253453776535
